2024-07-21 07:18:31.081 | main                      | INFO  | com.example.onlineshopproject.integration.AuthIntegrationTest           -  Starting AuthIntegrationTest using Java 22.0.1 with PID 9590 (started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 07:18:31.116 | main                      | DEBUG | com.example.onlineshopproject.integration.AuthIntegrationTest           -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 07:18:31.118 | main                      | INFO  | com.example.onlineshopproject.integration.AuthIntegrationTest           -  The following 1 profile is active: "dev"
2024-07-21 07:19:19.535 | main                      | INFO  | com.example.onlineshopproject.integration.AuthIntegrationTest           -  Starting AuthIntegrationTest using Java 22.0.1 with PID 9605 (started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 07:19:19.537 | main                      | DEBUG | com.example.onlineshopproject.integration.AuthIntegrationTest           -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 07:19:19.545 | main                      | INFO  | com.example.onlineshopproject.integration.AuthIntegrationTest           -  The following 1 profile is active: "dev"
2024-07-21 12:31:51.836 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Starting OnlineShopProjectApplication using Java 22.0.1 with PID 1948 (/Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject/target/classes started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
2024-07-21 12:31:51.838 | main                      | DEBUG | com.example.onlineshopproject.OnlineShopProjectApplication              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-21 12:31:51.840 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  No active profile set, falling back to 1 default profile: "default"
2024-07-21 12:31:58.214 | main                      | DEBUG | com.example.onlineshopproject.security.jwt.JwtFilter                    -  Filter 'jwtFilter' configured for use
2024-07-21 12:32:12.248 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Started OnlineShopProjectApplication in 22.36 seconds (process running for 25.783)
2024-07-21 13:48:29.265 | main                      | INFO  | com.example.onlineshopproject.OnlineShopProjectApplication              -  Starting OnlineShopProjectApplication using Java 22.0.1 with PID 2788 (/Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject/target/classes started by andrii.vytiahanets in /Users/andrii.vytiahanets/Documents/Tel-Ran_by_Starta_Institute/onlineshopproject)
